0 3 6
1 2 6
2 2 4
3 1 4
4 2 5
5 5 5
6 2 4
7 0 4
8 1 2
9 1 2
10 1 2
11 0 2
12 4 6
13 1 6
14 11 13
15 7 13
16 3 10
17 1 10
18 2 5
19 1 5
20 7 9
21 1 9
22 4 9
23 7 9
24 6 7
25 1 7
26 6 6
27 1 6
28 2 2
29 0 2
30 1 2
31 0 2
32 2 6
33 2 6
34 0 4
35 0 4
36 0 2
37 0 2
38 0 1
39 0 1
40 0 2
41 0 2
42 1 4
43 0 4
44 0 1
45 0 1
46 1 4
47 2 4
48 1 4
49 0 4
50 0 3
51 2 3
52 0 2
53 1 2
54 0 3
55 1 3
56 0 2
57 0 2
58 7 10
59 0 10
60 1 6
61 0 6
62 2 4
63 0 4
64 0 2
65 0 2
66 0 2
67 0 2
68 0 4
69 0 4
70 0 2
71 0 2
72 1 2
73 0 2
74 8 8
75 7 8
76 5 10
77 8 10
78 2 6
79 1 6
80 0 3
81 2 3
82 1 1
83 1 1
84 3 6
85 3 6
86 11 16
87 7 16
88 2 3
89 2 3
90 3 14
91 9 14
92 11 11
93 0 11
94 0 14
95 0 14
96 1 3
97 2 3
98 7 10
99 9 10
100 2 3
101 0 3
102 2 4
103 2 4
104 0 2
105 0 2
106 1 2
107 1 2
108 1 2
109 2 2
110 3 5
111 4 5
112 0 1
113 1 1
114 0 1
115 0 1
116 2 4
117 3 4
118 2 3
119 2 3
120 1 3
121 1 3
122 1 3
123 0 3
124 0 1
125 0 1
126 0 3
127 0 3
128 0 2
129 1 2
130 0 2
131 0 2
132 1 2
133 1 2
134 0 2
135 0 2
136 1 3
137 0 3
138 0 1
139 0 1
140 3 10
141 4 10
142 0 2
143 0 2
144 0 4
145 0 4
146 7 10
147 5 10
148 0 3
149 0 3
150 1 3
151 0 3
152 0 4
153 0 4
154 0 1
155 0 1
156 0 1
157 0 1
158 1 1
159 0 1
160 1 3
161 0 3
162 0 1
163 0 1
164 0 2
165 0 2
166 0 2
167 2 2
168 1 6
169 1 6
